title,subtitle,type,event_start,event_end,description
Guinea-Bissau,Vieira,regime,1980,1999,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Burkina Faso,Campaore,regime,1987,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Liberia,Doe,regime,1980,1990,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Ghana,Rawlings,regime,1981,2001,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Uganda,Museveni,regime,1986,2004,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Zimbabwe,Mugabe,regime,1980,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Comoros,Abdallah,regime,1978,1989,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Mongolia,Choibalsan,regime,1936,1952,"Irregular Transition; Radical ideology implemented; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
South Korea,Hee Park,regime,1961,1979,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Thailand,Sarit,regime,1958,1963,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Thailand,Thanon Kittakachorn,regime,1963,1973,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Afghanistan,Mullah Omar,regime,1996,2001,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Guatemala,Ydigoras Fuente,regime,1958,1963,"Radical ideology implemented; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state;Change in property ownership rights"
Honduras,Lopez Arellano,regime,1963,1971,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
El Salvador,Osorio,regime,1950,1956,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Venezuela,Betancourt,regime,1945,1948,"Irregular Transition; Leader increased democracy and political freedom; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Brazil,Castello Branco,regime,1964,1967,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Democratic Republic of Congo,Laurent Kabila,regime,1997,2001,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Rwanda,Habyarimana,regime,1973,1994,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
South Africa,Mandela,regime,1994,1999,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Tunisia,Ben Ali Bourguiba,regime,1957,1987,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Bangladesh,Ershad,regime,1982,1990,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Republic of Vietnam,Van Thieu,regime,1965,1975,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Malaysia,Razak,regime,1970,1976,"Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Indonesia,Suharto,regime,1966,1998,"Irregular Transition; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Guatemala,Rios Montt,regime,1982,1983,"Irregular Transition; Major changes to a constitution, or change to leader selection process; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Honduras,Carias Andino,regime,1933,1949,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Nicaragua,Anastasio Somoza Garcia,regime,1937,1947,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Rwanda,Paul Kagame,regime,1994,2004,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Madagascar,Marc Ravalomanana,regime,2002,2004,"Irregular Transition; Major changes to a constitution, or change to leader selection process; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Sudan,Abboud,regime,1958,1964,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Philippines,Aquino,regime,1986,1992,"Irregular Transition; Leader increased democracy and political freedom; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Haiti,Magloire,regime,1950,1956,"Irregular Transition; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Costa Rica,"Quiros, Daniel",regime,1974,1978,Irregular Transition; Adopted communism or fascism as official ideology of the state; Change in property ownership rights
Ecuador,Castro,regime,1963,1966,Irregular Transition; Adopted communism or fascism as official ideology of the state; Change in property ownership rights
Bolivia,Ovando Candia,regime,1969,1970,Irregular Transition; Adopted communism or fascism as official ideology of the state; Change in property ownership rights
Argentina,Aramburu,regime,1955,1958,Irregular Transition; Leader increased democracy and political freedom; Adopted communism or fascism as official ideology of the state; Change in property ownership rights
El Salvador,Castillo,regime,1960,1961,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state"
Venezuela,Betancourt,regime,1959,1963,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Bolivia,Villarroel,regime,1943,1946,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state"
Argentina,Galtieri,regime,1981,1982,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Central African Republic,Patasse,regime,1993,2003,"Irregular Transition; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Dominican Republic,Rafel Trujillo,regime,1930,1961,"Irregular Transition; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Nigeria,Babangida,regime,1985,1993,"Irregular Transition; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
